conn_name,conn_type,zone-loc,edge
699,batten,U11,0
700,batten,U12,0
701,batten,U13,0
702,batten,U14,0
703,batten,U15,0
704,batteneave,U16,0
705,batteneave,V1,0
706,batten,V2,0
707,batten,V3,0
708,batten,V4,0
709,batten,V5,0
710,batten,V6,0
711,batten,V7,0
712,batteneave,V8,0
713,batteneave,V9,0
714,batten,V10,0
715,batten,V11,0
716,batten,V12,0
717,batten,V13,0
718,batten,V14,0
719,batten,V15,0
720,batteneave,V16,0
721,battencorner,W1,1
722,battenend,W2,1
723,battenend,W3,1
724,battenend,W4,1
725,battenend,W5,1
726,battenend,W6,1
727,battenend,W7,1
728,battencorner,W8,1
729,battencorner,W9,1
730,battenend,W10,1
731,battenend,W11,1
732,battenend,W12,1
733,battenend,W13,1
734,battenend,W14,1
735,battenend,W15,1
736,battencorner,W16,1
737,Trusstowallconnectionend,A2,0
738,Trusstowallconnectionend,A15,0
739,Trusstowallconnection,B2,0
740,Trusstowallconnection,B15,0
741,Trusstowallconnection,C2,0
742,Trusstowallconnection,C15,0
743,Trusstowallconnection,D2,0
744,Trusstowallconnection,D15,0
745,Trusstowallconnection,E2,0
746,Trusstowallconnection,E15,0
747,Trusstowallconnection,F2,0
748,Trusstowallconnection,F15,0
749,Trusstowallconnection,G2,0
750,Trusstowallconnection,G15,0
751,Trusstowallconnection,H2,0
752,Trusstowallconnection,H15,0
753,Trusstowallconnection,I2,0
754,Trusstowallconnection,I15,0
755,Trusstowallconnection,J2,0
756,Trusstowallconnection,J15,0
757,Trusstowallconnection,K2,0
758,Trusstowallconnection,K15,0
759,Trusstowallconnection,L2,0
760,Trusstowallconnection,L15,0
761,Trusstowallconnection,M2,0
762,Trusstowallconnection,M15,0
763,Trusstowallconnection,N2,0
764,Trusstowallconnection,N15,0
765,Trusstowallconnection,O2,0
766,Trusstowallconnection,O15,0
767,Trusstowallconnection,P2,0
768,Trusstowallconnection,P15,0
769,Trusstowallconnection,Q2,0
770,Trusstowallconnection,Q15,0
771,Trusstowallconnection,R2,0
772,Trusstowallconnection,R15,0
773,Trusstowallconnection,S2,0
774,Trusstowallconnection,S15,0
775,Trusstowallconnection,T2,0
776,Trusstowallconnection,T15,0
777,Trusstowallconnection,U2,0
778,Trusstowallconnection,U15,0
779,Trusstowallconnection,V2,0
780,Trusstowallconnection,V15,0
781,Trusstowallconnectionend,W2,0
782,Trusstowallconnectionend,W15,0
